13:17:31.560  INFO     Connecting to 100.122.9.49:5000...
13:17:33.150  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
13:17:34.760  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
13:17:36.367  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,4
13:17:37.980  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,4
13:17:39.593  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
13:17:41.204  DEBUG    TX /CONTROLL/0,-100,0,0,0,0,0,0,0
13:17:42.814  DEBUG    TX /CONTROLL/0,0,0,0,0,0,3,0,32
13:17:44.434  DEBUG    TX /CONTROLL/0,0,0,0,0,0,1,0,0
13:17:46.053  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
13:17:47.662  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
13:17:48.305  WARNING  Connection closed by remote
13:17:49.274  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
13:17:50.888  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
